                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.62998,                0.46596,                 1.1003,                0.91204,                0.83993,                0.92745,                0.74189,                0.77345,                0.56359,                 1.2434,               0.004357,               0.004357,               0.004357
                     59,                0.62308,                0.46039,                  1.095,                0.90739,                0.84323,                0.92805,                 0.7567,                0.76522,                0.54927,                 1.2321,               0.004258,               0.004258,               0.004258
                     60,                0.61491,                0.45101,                 1.0851,                0.89536,                0.84983,                0.91552,                0.74496,                0.77016,                0.56526,                 1.2515,               0.004159,               0.004159,               0.004159
                     61,                0.63082,                0.46274,                  1.089,                  0.915,                0.85269,                0.93205,                0.74703,                0.79131,                0.54363,                 1.2813,                0.00406,                0.00406,                0.00406
                     62,                0.61544,                0.44757,                 1.0883,                0.91054,                0.85974,                0.93604,                0.75707,                0.74958,                0.53608,                 1.2068,               0.003961,               0.003961,               0.003961
                     63,                0.60971,                0.44396,                  1.088,                0.92446,                0.84653,                 0.9299,                 0.7521,                0.75753,                0.51838,                 1.2405,               0.003862,               0.003862,               0.003862
                     64,                0.61404,                0.44747,                 1.0834,                0.91011,                0.85479,                0.92254,                0.74455,                0.78809,                0.55528,                 1.2578,               0.003763,               0.003763,               0.003763
                     65,                0.61538,                0.45041,                 1.0813,                0.91398,                0.85149,                0.92604,                0.75468,                0.76319,                0.55505,                 1.2289,               0.003664,               0.003664,               0.003664
                     66,                0.61253,                0.44194,                 1.0828,                0.91631,                 0.8492,                0.92698,                0.74368,                0.77142,                0.54741,                 1.2331,               0.003565,               0.003565,               0.003565
                     67,                0.59879,                0.44402,                 1.0797,                0.91137,                0.87129,                0.93315,                0.75817,                0.77526,                0.54779,                 1.2617,               0.003466,               0.003466,               0.003466
                     68,                0.60053,                0.43356,                 1.0776,                0.93187,                0.85763,                0.93233,                0.76258,                0.74692,                0.53888,                 1.2217,               0.003367,               0.003367,               0.003367
                     69,                0.59012,                0.43298,                  1.073,                0.90695,                0.85479,                0.92792,                0.75984,                0.76494,                0.53271,                 1.2479,               0.003268,               0.003268,               0.003268
                     70,                0.59249,                0.43037,                 1.0718,                0.88745,                0.85872,                0.92522,                0.76465,                0.74493,                0.55188,                 1.2113,               0.003169,               0.003169,               0.003169
